entity_id,state,last_changed
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.8384170532227,2026-03-19T20:25:59.709Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.7425804138184,2026-03-19T20:26:02.726Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.4601631164551,2026-03-19T20:26:05.746Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.3935317993164,2026-03-19T20:26:08.764Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.3099822998047,2026-03-19T20:26:11.781Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.2561645507812,2026-03-19T20:26:14.800Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.240837097168,2026-03-19T20:26:17.836Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.1906929016113,2026-03-19T20:26:20.843Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,50.0243835449219,2026-03-19T20:26:23.861Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,50.0897483825684,2026-03-19T20:26:26.888Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,50.1638870239258,2026-03-19T20:26:29.903Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,50.135383605957,2026-03-19T20:26:32.922Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,50.0270347595215,2026-03-19T20:26:37.093Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.9253234863281,2026-03-19T20:26:38.961Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.2989273071289,2026-03-19T20:26:41.989Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.4579772949219,2026-03-19T20:26:45.000Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.2416915893555,2026-03-19T20:26:48.025Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.1928329467773,2026-03-19T20:26:51.037Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.2956390380859,2026-03-19T20:26:54.062Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.263843536377,2026-03-19T20:26:57.075Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.2291717529297,2026-03-19T20:27:00.107Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.2625274658203,2026-03-19T20:27:03.116Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.2503051757812,2026-03-19T20:27:06.148Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.9294967651367,2026-03-19T20:27:09.157Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,50.0151863098145,2026-03-19T20:27:12.185Z
sensor.ventomaxx_pwm_analyser_pwm_fan_sieht_mosfet_invertiert,49.9614028930664,2026-03-19T20:27:15.199Z
